name,subcategory,category,commune,postal_code,address,phone,email,website_status,website_confidence,website,priority,prospect_score,opening_hours,source,source_url,maps_url,website_evidence
Kiosque à Pizza,fast_food,amenity:fast_food,,37420,,,,likely_yes,medium,https://www.kiosque.hamburg/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811572,"https://www.google.com/maps/search/?api=1&query=47.2118039,0.1727891",premier domaine plausible comme site officiel (kiosque.hamburg)
Lambert Peinture,painter,craft:painter,,37420,,,,likely_yes,medium,https://www.lambertentreprise.fr/qui-sommes-nous,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/187046960,"https://www.google.com/maps/search/?api=1&query=47.2105327,0.1541303",premier domaine plausible comme site officiel (lambertentreprise.fr)
Le Bocage,restaurant,amenity:restaurant,,37420,,,,likely_yes,medium,https://www.bocage.eu/,low,0,"Mo-Su,PH 12:00-14:00,19:00-20:00",OpenStreetMap,https://www.openstreetmap.org/way/189091201,"https://www.google.com/maps/search/?api=1&query=47.2006827,0.1437487",premier domaine plausible comme site officiel (bocage.eu)
Le Bourg Joly,guest_house,tourism:guest_house,,37420,,,,likely_yes,medium,https://www.lebourgjoly.com/presentation/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/2364776615,"https://www.google.com/maps/search/?api=1&query=47.2694982,0.3140789",premier domaine plausible comme site officiel (lebourgjoly.com)
Le Hangar,restaurant,amenity:restaurant,,37420,,,,likely_yes,medium,https://www.tripadvisor.fr/Restaurant_Review-g6674343-d21212354-Reviews-Le_Hangar-Avoine_Indre_et_Loire_Centre_Val_de_Loire.html,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/62412621,"https://www.google.com/maps/search/?api=1&query=47.2200156,0.1658095",premier domaine plausible comme site officiel (tripadvisor.fr)
Le P'tit salon de Carine,hairdresser,shop:hairdresser,,37420,,,,likely_yes,medium,https://www.fresha.com/fr/lvp/le-ptit-salon-de-carine-rue-des-ecoles-huismes-jbKqo7,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/10038069344,"https://www.google.com/maps/search/?api=1&query=47.2322323,0.2526841",premier domaine plausible comme site officiel (fresha.com)
Le petit logis,hotel,tourism:hotel,,37420,,,,yes,high,https://www.lepetitlogis.fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/124992428,"https://www.google.com/maps/search/?api=1&query=47.2156257,0.1632087",website tag présent dans OpenStreetMap
Les Brasseurs Rabelaisiens,company,office:company,,37420,,,,likely_yes,medium,https://autour-de-moi.pro/fiche/les-brasseurs-rabelaisiens/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811565,"https://www.google.com/maps/search/?api=1&query=47.2178349,0.1642824",premier domaine plausible comme site officiel (autour-de-moi.pro)
Les Jardins du Cœur,company,office:company,,37420,,,,likely_yes,medium,https://www.ville-avoine.fr/contacts/les-jardins-du-coeur/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811557,"https://www.google.com/maps/search/?api=1&query=47.2155874,0.1719236",premier domaine plausible comme site officiel (ville-avoine.fr)
Les Jouets en Bois,company,office:company,,37420,,,,likely_yes,medium,https://www.lesjouetsenbois.com/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9332693409,"https://www.google.com/maps/search/?api=1&query=47.2137068,0.1627007",premier domaine plausible comme site officiel (lesjouetsenbois.com)
Maison des vins du Véron,winery,craft:winery,,37420,,,,likely_yes,medium,https://www.maisonsdumonde.com/DE/de?msockid=0569a8ada77867402734bffba61666a5,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/7982479492,"https://www.google.com/maps/search/?api=1&query=47.1939994,0.1851201",premier domaine plausible comme site officiel (maisonsdumonde.com)
Maison Max Ernst,museum,tourism:museum,,37420,,,,yes,high,http://www.maison-max-ernst.org/,low,0,,OpenStreetMap,https://www.openstreetmap.org/way/128307117,"https://www.google.com/maps/search/?api=1&query=47.229698,0.252816",website tag présent dans OpenStreetMap
Mat Équip 37,company,office:company,,37420,,,,likely_yes,medium,https://www.matequip37.fr/agences.html,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811577,"https://www.google.com/maps/search/?api=1&query=47.2166532,0.1548472",premier domaine plausible comme site officiel (matequip37.fr)
Omexom Lensens Actea,company,office:company,,37420,,,,likely_yes,medium,https://www.omexom.de/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811559,"https://www.google.com/maps/search/?api=1&query=47.2183848,0.1631265",premier domaine plausible comme site officiel (omexom.de)
Orano,company,office:company,,37420,,,,likely_yes,medium,https://www.orano.group/en,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/11020751521,"https://www.google.com/maps/search/?api=1&query=47.2180621,0.1630687",premier domaine plausible comme site officiel (orano.group)
PC2E,company,office:company,,37420,,,,likely_yes,medium,https://www.societe.com/societe/pc2e-499788065.html,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811560,"https://www.google.com/maps/search/?api=1&query=47.2148421,0.1720724",premier domaine plausible comme site officiel (societe.com)
Pharmacie Regina,pharmacy,amenity:pharmacy,,37420,,,,likely_yes,medium,https://pharmacie-avoine.fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/2339174515,"https://www.google.com/maps/search/?api=1&query=47.2055824,0.1826926",premier domaine plausible comme site officiel (pharmacie-avoine.fr)
Philippe Flament,stonemason,craft:stonemason,,37420,,,,likely_yes,medium,https://de.wikipedia.org/wiki/Philippe_(Belgien),low,0,,OpenStreetMap,https://www.openstreetmap.org/node/11020739572,"https://www.google.com/maps/search/?api=1&query=47.218474,0.1667067",premier domaine plausible comme site officiel (de.wikipedia.org)
Point P,doityourself,shop:doityourself,,37420,,,,likely_yes,medium,https://www.pointp.fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9332693402,"https://www.google.com/maps/search/?api=1&query=47.2144215,0.1666278",premier domaine plausible comme site officiel (pointp.fr)
Point S,car_repair,shop:car_repair,,37420,,,,likely_yes,medium,https://www.points.fr/centre/vt-garage-avoine/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811561,"https://www.google.com/maps/search/?api=1&query=47.2190842,0.1638026",premier domaine plausible comme site officiel (points.fr)
Ponticelli,company,office:company,,37420,,,,likely_yes,medium,https://www.ponticelli.com/le-groupe/nos-implantations/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/11020751522,"https://www.google.com/maps/search/?api=1&query=47.2189936,0.1645588",premier domaine plausible comme site officiel (ponticelli.com)
Prezioso Linje Bygg,company,office:company,,37420,,,,likely_yes,medium,https://www.altradprezioso.com/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811591,"https://www.google.com/maps/search/?api=1&query=47.2186959,0.1631318",premier domaine plausible comme site officiel (altradprezioso.com)
Redken styl'coiffure,hairdresser,shop:hairdresser,,37420,,,,likely_yes,medium,https://www.redken.eu/de-de/,low,0,"Tu-Fr 09:00-12:00,14:00-18:30; Sa 09:00-14:00",OpenStreetMap,https://www.openstreetmap.org/way/189089675,"https://www.google.com/maps/search/?api=1&query=47.2009412,0.1447959",premier domaine plausible comme site officiel (redken.eu)
San T BTP,company,office:company,,37420,,,,likely_yes,medium,https://www.santbtp.fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811549,"https://www.google.com/maps/search/?api=1&query=47.2177167,0.1633629",premier domaine plausible comme site officiel (santbtp.fr)
Serre Tixier,garden_centre,shop:garden_centre,,37420,,,,likely_yes,medium,https://laserretixier.fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/11893641640,"https://www.google.com/maps/search/?api=1&query=47.2138174,0.1608229",premier domaine plausible comme site officiel (laserretixier.fr)
Services Techniques Communautaires,government,office:government,,37420,,,,likely_yes,medium,https://www.astech-solutions.com/fr/blog/quest-ce-que-les-services-techniques,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9332693412,"https://www.google.com/maps/search/?api=1&query=47.2093904,0.1596598",premier domaine plausible comme site officiel (astech-solutions.com)
SM Elec,company,office:company,,37420,,,,likely_yes,medium,https://www.societe.com/societe/sm-elec-945133833.html,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811563,"https://www.google.com/maps/search/?api=1&query=47.2179572,0.1643038",premier domaine plausible comme site officiel (societe.com)
SNEF,company,office:company,,37420,,,,likely_yes,medium,https://www.snef.fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9332693411,"https://www.google.com/maps/search/?api=1&query=47.2138263,0.1620573",premier domaine plausible comme site officiel (snef.fr)
Socotec,company,office:company,,37420,,,,likely_yes,medium,https://www.socotec.fr/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/11020739580,"https://www.google.com/maps/search/?api=1&query=47.2199732,0.1639595",premier domaine plausible comme site officiel (socotec.fr)
Sols Pro Services,company,office:company,,37420,,,,likely_yes,medium,https://www.societe.com/etablissement/sols-pro-services-48931338700032.html,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811585,"https://www.google.com/maps/search/?api=1&query=47.212896,0.1711811",premier domaine plausible comme site officiel (societe.com)
Soraya,company,office:company,,37420,,,,likely_yes,medium,https://annuaire-entreprises.data.gouv.fr/etablissement/41155971900025,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811590,"https://www.google.com/maps/search/?api=1&query=47.2195944,0.1641319",premier domaine plausible comme site officiel (annuaire-entreprises.data.gouv.fr)
Stéphane et Francis Suard,wine,shop:wine,,37420,,,,likely_yes,medium,"https://www.vorname.com/name,St%c3%a9phane.html",low,0,,OpenStreetMap,https://www.openstreetmap.org/way/311148085,"https://www.google.com/maps/search/?api=1&query=47.208228,0.1262204",premier domaine plausible comme site officiel (vorname.com)
Thierry Jonot,company,office:company,,37420,,,,likely_yes,medium,https://thierry-gmbh.de/,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811551,"https://www.google.com/maps/search/?api=1&query=47.2178992,0.1644028",premier domaine plausible comme site officiel (thierry-gmbh.de)
Total,convenience;gas,shop:convenience;gas,,37420,,,,likely_yes,medium,https://totalenergies.com/fr,low,0,24/7,OpenStreetMap,https://www.openstreetmap.org/way/62410880,"https://www.google.com/maps/search/?api=1&query=47.2134092,0.1705349",premier domaine plausible comme site officiel (totalenergies.com)
Usinage 37,company,office:company,,37420,,,,likely_yes,medium,https://www.societe.com/societe/usinage-37-817527856.html,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811562,"https://www.google.com/maps/search/?api=1&query=47.219707,0.1637195",premier domaine plausible comme site officiel (societe.com)
Yapluka,company,office:company,,37420,,,,likely_yes,medium,https://www.pagesjaunes.fr/pros/52079489,low,0,,OpenStreetMap,https://www.openstreetmap.org/node/9335811576,"https://www.google.com/maps/search/?api=1&query=47.2147195,0.1720506",premier domaine plausible comme site officiel (pagesjaunes.fr)
